Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2021-05-01,-,-,-,-,-,-,-
2021-05-02,-,-,-,-,-,-,-
2021-05-03,1.2279,498,522,471,493,406,371
2021-05-04,1.2309,509,538,476,500,407,369
2021-05-05,1.2267,506,531,469,492,402,363
2021-05-06,1.2149,494,522,466,486,395,356
2021-05-07,1.2133,495,521,464,489,392,353
2021-05-08,-,-,-,-,-,-,-
2021-05-09,-,-,-,-,-,-,-
2021-05-10,1.2102,494,519,464,489,391,353
2021-05-11,1.2102,497,522,472,494,400,363
2021-05-12,1.2134,504,526,474,496,406,372
2021-05-13,1.2162,488,512,456,481,389,353
2021-05-14,1.2104,498,524,467,491,401,365
2021-05-15,-,-,-,-,-,-,-
2021-05-16,-,-,-,-,-,-,-
2021-05-17,1.2068,503,528,473,497,405,368
2021-05-18,1.2066,497,518,469,492,400,364
2021-05-19,1.2133,484,507,448,473,371,329
2021-05-20,1.2061,471,489,439,461,360,318
2021-05-21,1.2066,483,504,452,475,373,332
2021-05-22,-,-,-,-,-,-,-
2021-05-23,-,-,-,-,-,-,-
2021-05-24,1.2044,502,514,467,490,389,347
2021-05-25,1.2067,503,516,468,491,392,352
2021-05-26,1.2123,505,520,471,497,397,359
2021-05-27,1.2066,507,521,474,500,401,363
2021-05-28,1.2076,504,520,472,498,397,358
2021-05-29,-,-,-,-,-,-,-
2021-05-30,-,-,-,-,-,-,-
2021-05-31,-,-,-,-,-,-,-
,1.2126,497,519,466,489,394,355
